AWB No,Order Ref,Courier Partner,Booking Date,Delivery Status,Delivery Date,Origin Pin,Dest Pin,Zone,Payment Mode,Consignee Name,Consignee Contact,Declared Wt (Kg),Charged Wt (Kg),Charge Head,Freight Amt,COD Amt Collected,COD Charge,Net Amount,Remarks
BSHP007100424,#1033,Xpressbees,12/07/2026,Delivered,16/07/2026,208001,201301,D,COD,Anita Faux,9000051004,0.500,0.500,FREIGHT,65.00,"1,504.00",40.00,105.00,
BSHP007100429,#1034,Xpressbees,07/07/2026,Delivered,11/07/2026,380001,110001,D,COD,Ravi Test,9000093395,1.500,2.000,FREIGHT,143.00,"1,332.00",40.00,183.00,
BSHP007100446,#1035,DTDC,08-Jul-26,Delivered,11/07/2026,208001,110001,C,COD,Neha Dummy,9000055262,0.250,0.250,FREIGHT,55.00,"1,015.00",40.00,95.00,
BSHP007100462,#1036,DTDC,21/07/2026,Delivered,25-Jul-26,226001,110001,D,COD,Priya Sample,9000050347,0.500,0.500,FREIGHT,65.00,"1,619.00",40.00,105.00,
BSHP007100477,#1037,Delhivery,09-Jul-26,Delivered,12/07/2026,380001,700001,A,PREPAID,Amit Placeholder,9000087183,0.750,0.750,FREIGHT,49.00,0.00,0.00,49.00,
BSHP007100489,#1038,Delhivery,11-Jul-26,Delivered,16/07/2026,400001,201301,B,COD,Rohit Synthetic,9000069574,0.500,0.500,FREIGHT,45.00,"1,182.00",40.00,85.00,
BSHP007100503,#1039A,Ecom Express,05/07/2026,Delivered,09/07/2026,208001,226001,B,COD,Priya Sample,9000056594,0.500,0.500,FREIGHT,45.00,"1,229.00",40.00,85.00,
BSHP007100508,#1040,DTDC,22-Jul-26,Delivered,25/07/2026,302001,208001,E,COD,Amit Placeholder,9000054686,0.750,1.000,FREIGHT,112.00,737.00,40.00,152.00,
BSHP007100524,#1041,Delhivery,05/07/2026,Delivered,09/07/2026,226001,560001,C,PREPAID,Rohit Synthetic,9000061850,0.500,1.000,FREIGHT,77.00,0.00,0.00,77.00,
BSHP007100534,#1042,DTDC,15/07/2026,Delivered,20/07/2026,400001,560001,B,COD,Priya Sample,9000028664,0.500,0.500,FREIGHT,45.00,"1,829.00",40.00,85.00,
BSHP007100555,#1043,Delhivery,23/07/2026,Delivered,25/07/2026,122001,400001,C,COD,Divya Mock,9000064682,0.500,0.500,FREIGHT,55.00,"2,324.00",40.00,95.00,
BSHP007100566,#1044,Xpressbees,10/07/2026,Delivered,12-Jul-26,226001,302001,D,COD,Amit Placeholder,9000074742,1.500,2.250,FREIGHT,169.00,"1,700.00",40.00,209.00,
BSHP007100580,#1045,Delhivery,22/07/2026,Delivered,24/07/2026,110001,110001,B,PREPAID,Neha Dummy,9000011745,0.500,0.500,FREIGHT,45.00,0.00,0.00,45.00,
BSHP007100590,#1046,Delhivery,09/07/2026,Delivered,14/07/2026,380001,110001,E,COD,Priya Sample,9000063989,1.500,1.500,FREIGHT,144.00,"1,182.00",40.00,184.00,
BSHP007100600,#1047,Delhivery,10/07/2026,Delivered,15/07/2026,201301,201301,B,COD,Karan Fixture,9000037018,0.500,0.500,FREIGHT,45.00,878.00,40.00,85.00,
BSHP007100614,#1048,Ecom Express,14/07/2026,Delivered,19-Jul-26,302001,700001,B,PREPAID,Rohit Synthetic,9000053388,0.500,0.500,FREIGHT,45.00,0.00,0.00,45.00,
BSHP007100633,#1049,Delhivery,18/07/2026,Delivered,20/07/2026,110001,226001,B,PREPAID,Rohit Synthetic,9000074930,0.250,0.750,FREIGHT,63.00,0.00,0.00,63.00,
BSHP007100640,#1050,Ecom Express,12/07/2026,Delivered,16/07/2026,400001,302001,B,COD,Anita Faux,9000097315,0.750,0.750,FREIGHT,63.00,"2,431.00",40.00,103.00,
BSHP007100651,#1051,Ecom Express,08/07/2026,Delivered,13/07/2026,302001,302001,E,PREPAID,Karan Fixture,9000016309,0.250,0.250,FREIGHT,80.00,0.00,0.00,80.00,
BSHP007100672,#1052,DTDC,08-Jul-26,Delivered,12/07/2026,400001,400001,C,PREPAID,Karan Fixture,9000013595,1.500,1.500,FREIGHT,99.00,0.00,0.00,99.00,
BSHP007100685,#1053,Xpressbees,11/07/2026,Delivered,15-Jul-26,560001,302001,B,PREPAID,Anita Faux,9000025938,0.500,0.500,FREIGHT,45.00,0.00,0.00,45.00,
BSHP007100693,#1054,Ecom Express,11/07/2026,Delivered,15/07/2026,302001,700001,C,PREPAID,Amit Placeholder,9000029988,0.500,0.500,FREIGHT,55.00,0.00,0.00,55.00,
BSHP007100702,#1055,Delhivery,03-Jul-26,Delivered,07/07/2026,302001,380001,B,COD,Anita Faux,9000010331,1.500,1.500,FREIGHT,81.00,604.00,40.00,121.00,
BSHP007100718,#1056,Xpressbees,08-Jul-26,Delivered,13/07/2026,110001,700001,B,COD,Neha Dummy,9000092864,0.500,0.500,FREIGHT,45.00,"1,923.00",40.00,85.00,
BSHP007100735,#1057,Xpressbees,05/07/2026,Delivered,08/07/2026,560001,560001,E,COD,Priya Sample,9000083587,0.500,0.500,FREIGHT,80.00,"1,681.00",40.00,120.00,
BSHP007100742,#1058,Xpressbees,12/07/2026,Delivered,16/07/2026,302001,110001,B,PREPAID,Amit Placeholder,9000041800,1.000,1.000,FREIGHT,63.00,0.00,0.00,63.00,
BSHP007100760,#1059,Xpressbees,12/07/2026,Delivered,17/07/2026,400001,700001,A,COD,Neha Dummy,9000072837,1.000,1.000,FREIGHT,49.00,"2,048.00",40.00,89.00,
BSHP007100767,#1060,Ecom Express,11/07/2026,Delivered,15/07/2026,400001,380001,B,COD,Karan Fixture,9000067455,0.500,0.500,FREIGHT,45.00,"1,046.00",40.00,85.00,
BSHP007100021,#1002,Xpressbees,27/07/2026,,,,,D,,,,0.250,1.000,WT DISC DEBIT,,,,52.00,Weight re-audit
BSHP007100079,#1007,Delhivery,10/07/2026,,,,,C,,,,0.250,0.750,WT DISC DEBIT,,,,22.00,Weight re-audit
BSHP007100126,#1010,Delhivery,16-Jul-26,,,,,A,,,,0.500,1.000,WT DISC DEBIT,,,,14.00,Weight re-audit
BSHP007100147,#1012,Ecom Express,28/07/2026,,,,,B,,,,1.000,1.500,WT DISC DEBIT,,,,18.00,Weight re-audit
BSHP007100021,#1002,Xpressbees,28-Jul-26,,,,,D,,,,,,WT DISC CREDIT,,,,-26.00,Dispute accepted
BSHP007100332,#1026,Xpressbees,17/07/2026,RTO Delivered,,,,E,,,,,,RTO FREIGHT,,,,115.20,Return leg
BSHP007100411,#1032,Xpressbees,27/07/2026,RTO Delivered,,,,D,,,,,,RTO FREIGHT,,,,52.00,Return leg
BSHP007100429,#1034,Xpressbees,14-Jul-26,Delivered,,380001,110001,D,COD,,,1.500,2.500,FREIGHT REBILL,169.00,,,169.00,Rate correction
BSHP007100614,#1048,Ecom Express,27/07/2026,,,,,B,,,,,,MISC ADJ,,,,23.50,Ref CN-2231
,,,,,,,,,,,,,,TOTAL,,,,"6,674.70",
